Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,On/Off
2000-01-04,14.62,34.19,5.63,0.44,0.68,7.56,8.33,0
2000-01-04,14.71,34.19,5.61,,,,,0
2000-01-04,14.91,34.21,5.5,0.41,0.63,7.42,8.13,0
2000-01-04,15.29,34.15,5.34,,,,,0
2000-01-04,15.51,34.21,5.67,0.38,0.77,6.9,8.78,0
2000-01-04,16.27,34.28,5.64,,,,,0
2000-01-04,16.47,34.26,5.58,,,,,0
2000-01-04,15.61,34.25,5.69,0.36,0.64,6.99,7.36,0
2000-01-04,15.97,34.24,5.58,,,,,0
2000-01-05,14.8,34.14,5.5,0.47,0.68,7.55,8.89,0
2000-02-09,13.12,33.947,6.01,0.25,0.61,3.63,14.89,0
2000-02-09,13.48,34.09,5.77,,,,,0
2000-02-09,13.58,34.108000000000004,5.85,0.18,0.48,0.86,9.43,0
2000-02-09,13.72,34.42,5.74,0.19,0.46,1.86,12.42,0
2000-02-09,14.24,34.444,5.9,,,,,0
2000-02-09,12.61,34.284,5.89,0.36,0.33,2.59,13.84,0
2000-02-09,11.0,33.762,6.16,,,,,0
2000-02-09,12.35,33.938,5.86,0.08,0.32,0.2,11.19,0
2000-02-10,11.31,34.08,6.03,,,,,0
2000-02-10,10.71,34.029,6.05,,,,,0
2000-02-10,13.26,34.268,5.86,,,,,0
2000-02-10,12.45,34.144,5.92,0.19,0.3,3.37,13.84,0
2000-02-10,14.4,34.354,6.18,,,,,0
2000-02-10,15.26,34.537,5.74,,,,,0
2000-02-10,15.51,34.525,5.78,0.06,0.5,2.55,11.39,0
2000-02-10,14.68,34.44,5.93,,,,,0
2000-02-10,11.31,34.08,6.03,,,,,0
2000-02-10,14.01,34.338,5.96,0.14,0.26,2.72,11.92,0
2000-02-10,10.37,34.023,6.14,,,,,0
2000-02-10,8.96,33.91,6.12,0.14,0.38,2.8,9.86,0
2000-02-10,9.91,33.75,6.18,,,,,0
2000-02-10,11.55,33.692,6.19,0.14,0.47,3.24,5.7,0
2000-02-10,12.06,33.966,6.24,,,,,0
2000-02-10,7.72,34.05,6.59,0.03,0.76,3.02,13.24,0
2000-02-10,13.72,34.199,5.82,0.15,0.12,2.32,5.87,0
2000-02-10,7.94,34.07,6.48,,,,,0
2000-02-10,15.68,34.497,5.72,,,,,0
2000-02-10,8.94,34.14,6.5,0.03,0.6,3.02,11.49,0
2000-02-10,15.82,34.571,5.86,0.17,0.27,3.65,13.14,0
2000-02-10,9.24,34.14,6.18,,,,,0
2000-02-10,15.68,34.32,5.6,0.17,0.3,2.39,10.71,0
2000-02-11,7.49,34.16,6.39,0.02,0.71,3.02,11.79,0
2000-02-11,7.47,34.15,6.18,,,,,0
2000-02-11,10.66,34.18,6.25,0.03,0.83,2.77,10.76,0
2000-02-12,16.31,34.646,5.48,,,,,0
2000-02-12,16.15,34.562,5.6,0.27,0.3,3.07,11.48,0
2000-02-12,12.18,34.14,5.82,0.02,0.77,2.68,9.51,0
2000-02-12,15.51,34.523,5.52,,,,,0
2000-02-12,12.01,34.12,5.71,,,,,0
2000-02-12,16.91,34.537,5.4,0.06,0.57,3.0,11.0,0
2000-02-12,16.96,34.523,5.37,,,,,0
2000-02-12,16.69,34.56,5.63,0.12,0.42,1.98,9.41,0
2000-02-12,16.73,34.59,5.34,,,,,0
2000-02-12,15.92,34.431999999999995,5.53,0.06,0.14,2.2,10.84,0
2000-02-12,15.38,34.53,5.82,,,,,0
2000-02-12,15.21,34.195,5.67,0.12,0.17,2.53,11.49,0
2000-02-13,14.61,34.117,5.75,,,,,0
2000-02-13,14.19,34.138000000000005,5.76,0.2,0.18,2.95,11.72,0
2000-02-13,13.44,33.847,6.01,,,,,0
2000-02-13,11.76,33.333,5.71,,,,,0
2000-02-13,12.11,33.567,5.86,0.14,0.16,2.61,12.62,0
2000-02-13,11.96,33.441,5.93,,,,,0
2000-02-13,13.2,34.013000000000005,5.91,0.35,0.16,2.54,14.46,0
2000-02-13,13.23,34.15,5.77,,,,,0
2000-02-13,13.71,34.246,5.75,0.35,0.16,1.41,14.27,0
2000-02-13,14.03,34.285,5.76,,,,,0
2000-02-13,14.09,34.507,5.66,0.25,0.2,2.31,13.13,0
2000-02-13,14.11,34.518,5.62,,,,,0
2000-02-14,13.17,34.461,5.87,0.32,0.13,1.38,11.51,0
2000-02-14,12.2,34.136,5.97,,,,,0
2000-02-14,11.99,33.745,5.97,0.41,0.26,5.08,12.67,0
2000-02-14,9.92,33.668,6.22,0.14,0.17,3.68,13.14,0
2000-02-16,8.85,33.882,6.11,,,,,0
2000-02-16,7.33,33.997,6.23,,,,,0
2000-02-18,10.79,34.16,5.84,0.03,0.82,3.16,13.15,0
2000-02-18,10.82,34.21,5.86,0.02,0.86,3.88,13.05,0
2000-02-18,10.77,34.25,5.86,,,,,0
2000-02-18,10.89,34.29,6.28,0.03,0.77,2.8,11.21,0
2000-02-18,11.12,34.24,6.27,,,,,0
2000-02-18,11.48,34.18,5.91,0.02,0.55,3.16,9.89,0
2000-02-18,11.67,34.12,5.56,,,,,0
2000-02-18,12.41,34.13,5.6,0.01,0.66,3.58,9.91,0
2000-02-22,2.79,31.354,7.55,0.36,0.27,12.69,10.0,0
2000-02-22,3.38,31.794,7.37,,,,,0
2000-02-22,3.82,31.966,7.27,0.62,0.28,7.38,5.36,0
2000-02-22,4.48,32.176,7.13,,,,,0
2000-02-22,5.23,32.4,7.01,0.17,0.39,5.27,4.07,0
2000-02-22,5.89,32.491,6.89,,,,,0
2000-02-22,6.16,32.465,6.8,0.6,0.92,3.94,8.34,0
2000-02-22,6.34,32.348,6.64,,,,,0
2000-02-23,6.45,32.409,6.82,,,,,0
2000-02-23,6.59,32.54,6.6,0.31,0.43,5.14,9.64,0
2000-02-23,6.5,32.532,6.62,,,,,0
2000-02-23,16.05,34.12,5.15,0.32,0.44,2.09,5.66,0
2000-02-23,6.37,32.54,6.62,0.57,0.37,5.15,9.87,0
2000-02-23,5.09,32.339,6.8,,,,,0
2000-02-23,4.94,32.241,6.95,0.76,0.26,6.6,8.41,0
2000-02-23,14.82,33.95,4.98,,,,,0
2000-02-23,4.46,32.037,7.11,,,,,0
2000-02-23,14.14,33.88,5.47,0.58,0.47,3.45,7.71,0
2000-02-23,4.46,31.95300000000001,7.23,0.56,0.4,8.73,8.36,0
2000-02-23,4.04,31.757,7.17,,,,,0
2000-02-23,13.4,33.76,5.31,,,,,0
2000-02-23,4.17,31.829,7.07,0.64,1.71,8.75,8.58,0
2000-02-23,10.94,34.25,5.81,0.03,0.86,2.71,13.97,0
2000-02-23,11.34,33.07,5.72,0.62,0.24,4.61,11.76,0
2000-02-23,11.03,34.27,5.83,,,,,0
2000-02-23,11.19,34.23,5.83,0.03,0.73,2.62,10.8,0
2000-02-23,10.36,32.8,6.37,,,,,0
2000-02-23,11.43,34.28,6.02,,,,,0
2000-02-23,9.85,32.48,6.41,0.59,0.3,2.9,12.5,0
2000-02-23,11.37,34.29,6.09,0.01,0.62,3.43,9.13,0
2000-02-23,9.94,32.5,4.58,,,,,0
2000-02-23,11.35,34.13,5.71,,,,,0
2000-02-23,9.91,32.82,6.33,0.75,0.27,6.45,12.5,0
2000-02-23,11.44,34.15,5.64,0.03,0.68,4.24,9.85,0
2000-02-23,10.03,32.75,6.08,,,,,0
2000-02-23,10.94,34.25,5.81,0.03,0.86,2.71,13.97,0
2000-02-29,3.87,31.743,7.1,,,,,0
2000-02-29,11.07,34.19,5.58,,,,,0
2000-02-29,16.28,34.67,4.94,,,,,0
2000-02-29,5.01,32.086,7.13,,,,,0
2000-02-29,5.04,32.123000000000005,7.29,0.13,0.78,8.45,8.25,0
2000-02-29,11.09,34.18,5.81,0.06,0.75,4.79,9.58,0
2000-02-29,16.57,34.6,5.88,0.31,0.44,5.71,5.19,0
2000-02-29,5.53,32.189,7.06,,,,,0
2000-02-29,6.02,32.454,6.84,0.68,0.32,5.97,9.49,0
2000-02-29,11.02,34.17,5.9,,,,,0
2000-02-29,16.31,34.21,4.94,,,,,0
2000-02-29,5.81,32.428000000000004,6.84,,,,,0
2000-02-29,10.69,34.18,6.01,,,,,0
2000-02-29,14.67,33.72,5.72,0.26,0.39,3.02,5.51,0
2000-02-29,6.6,32.545,6.88,0.66,0.35,8.78,10.88,0
2000-02-29,6.81,32.579,6.67,,,,,0
2000-02-29,9.44,34.17,6.25,,,,,0
2000-02-29,13.89,32.68,5.86,,,,,0
2000-02-29,7.01,32.605,6.5,0.28,0.67,8.22,9.72,0
2000-02-29,12.57,33.52,5.55,0.77,0.24,3.91,8.44,0
2000-02-29,6.88,32.56,6.5,,,,,0
2000-02-29,11.09,34.28,5.87,,,,,0
2000-02-29,10.94,33.25,6.41,,,,,0
2000-03-01,10.04,34.22,5.94,,,,,0
2000-03-01,7.23,32.611,6.41,,,,,0
2000-03-01,9.67,32.82,6.37,0.38,0.26,5.26,11.07,0
2000-03-01,7.1,32.625,6.42,0.76,0.38,6.19,9.96,0
2000-03-01,10.66,34.17,5.91,,,,,0
2000-03-01,8.99,32.43,6.41,,,,,0
2000-03-01,6.89,32.6,6.53,,,,,0
2000-03-01,10.88,34.17,5.63,0.07,0.62,3.65,10.51,0
2000-03-01,10.88,34.17,5.63,0.07,0.62,3.65,10.51,0
2000-03-01,6.56,32.543,6.63,0.03,0.38,6.74,10.49,0
2000-03-01,8.59,32.79,6.33,0.63,0.35,8.72,15.23,0
2000-03-01,6.17,32.454,6.69,,,,,0
2000-03-01,10.99,34.17,5.66,,,,,0
2000-03-01,5.96,32.407,6.72,2.22,0.4,8.07,9.73,0
2000-03-01,8.53,32.9,6.45,,,,,0
2000-03-01,5.68,32.323,6.78,,,,,0
2000-03-01,8.76,33.176,5.99,0.67,0.43,6.64,10.28,0
2000-03-01,10.9,34.21,5.79,0.15,0.44,3.48,11.35,0
2000-03-01,4.61,32.107,6.79,0.9,0.62,8.16,8.18,0
2000-03-01,8.13,32.43,6.06,,,,,0
2000-03-01,12.17,34.42,5.81,,,,,0
2000-03-01,10.75,34.23,5.98,0.04,0.43,2.75,11.75,0
2000-03-01,3.78,31.951,6.68,,,,,0
2000-03-01,5.44,32.247,6.77,1.08,0.7,8.22,8.66,0
2000-03-01,11.47,34.39,6.02,,,,,0
2000-03-01,10.45,34.28,6.2,0.12,0.41,3.91,13.42,0
2000-03-01,10.63,34.35,6.19,,,,,0
2000-03-01,13.1,34.03,5.67,,,,,0
2000-03-01,7.55,32.858000000000004,6.51,,,,,0
2000-03-01,14.09,34.34,5.51,0.53,0.37,4.58,8.6,0
2000-03-01,8.76,33.176,5.99,0.67,0.43,6.64,10.28,0
2000-03-01,10.95,34.29,6.15,,,,,0
2000-03-01,6.82,32.575,6.24,,,,,0
2000-03-01,10.72,34.19,6.24,0.13,0.46,3.67,11.99,0
2000-03-01,14.21,34.23,5.76,,,,,0
2000-03-01,6.31,32.443000000000005,6.46,1.22,0.43,7.05,10.21,0
2000-03-01,7.35,32.753,6.45,,,,,0
2000-03-01,14.69,34.09,5.63,0.27,0.45,2.91,7.3,0
2000-03-01,15.48,33.49,5.35,,,,,0
2000-03-01,7.61,32.733000000000004,6.39,1.26,0.56,6.71,10.69,0
2000-03-01,7.75,32.671,6.42,,,,,0
2000-03-01,16.11,34.03,4.98,0.48,0.64,2.19,6.61,0
2000-03-01,7.85,32.693000000000005,6.45,0.95,0.37,6.72,11.03,0
2000-03-02,16.25,34.51,5.06,,,,,0
2000-03-02,7.77,32.716,6.29,,,,,0
2000-03-02,7.87,32.654,6.24,,,,,0
2000-03-02,7.66,32.631,6.31,0.74,0.33,5.49,9.43,0
2000-03-02,7.27,32.594,6.43,,,,,0
2000-03-02,6.66,32.497,6.54,0.79,0.47,6.59,8.83,0
2000-03-02,6.19,32.493,6.68,,,,,0
2000-03-03,12.49,34.5,6.02,,,,,0
2000-03-03,12.26,34.49,5.84,0.15,0.34,3.54,13.79,0
2000-03-03,12.74,34.49,5.91,,,,,0
2000-03-03,11.09,34.18,6.15,0.06,0.31,3.7,12.45,0
2000-03-03,11.04,34.18,6.2,,,,,0
2000-03-03,10.19,34.19,6.15,0.13,0.44,4.46,11.97,0
2000-03-04,12.66,34.46,6.08,,,,,0
2000-03-04,11.16,34.22,6.22,0.07,0.31,3.11,11.35,0
2000-03-04,13.47,34.51,5.77,,,,,0
2000-03-04,13.41,34.51,5.81,0.12,0.56,2.59,14.11,0
2000-03-04,12.15,34.45,5.83,,,,,0
2000-03-04,11.99,34.46,6.04,0.15,0.49,2.76,13.57,0
2000-03-04,11.99,34.46,6.01,,,,,0
2000-03-04,12.67,34.46,5.86,,,,,0
2000-03-04,12.92,34.43,5.86,0.04,0.66,1.07,10.27,0
2000-03-04,13.47,34.52,5.84,,,,,0
2000-03-04,13.47,34.52,5.87,0.04,0.73,4.09,8.7,0
2000-03-04,13.54,34.53,6.17,,,,,0
2000-03-04,14.5,34.55,6.2,,,,,0
2000-03-05,13.96,34.54,6.17,0.08,0.48,0.87,7.42,0
2000-03-05,12.35,34.4,6.14,0.08,0.61,1.68,10.22,0
2000-03-05,13.21,34.5,6.25,,,,,0
2000-03-05,12.35,34.4,6.14,0.08,0.61,1.68,10.22,0
2000-04-03,13.19,34.395,6.51,0.05,0.22,3.18,3.12,0
2000-04-03,14.25,34.476,6.35,,,,,0
2000-04-03,13.71,34.508,6.42,0.06,0.18,2.58,2.76,0
2000-04-03,13.97,34.497,6.45,0.02,0.11,1.17,3.3,0
2000-04-03,13.37,34.439,6.41,,,,,0
2000-04-03,13.45,34.416,6.51,0.08,0.05,3.61,2.07,0
2000-04-03,12.27,34.398,6.3,0.03,0.12,4.62,3.46,0
2000-04-03,11.3,34.126,6.98,0.01,0.04,4.22,1.54,0
2000-04-04,11.29,34.269,6.33,0.06,0.09,3.2,0.71,0
2000-04-04,11.12,33.968,6.35,,,,,0
2000-04-04,10.77,33.998000000000005,6.33,,,,,0
2000-04-04,13.48,34.336,6.33,0.07,0.32,2.2,5.26,0
2000-04-04,14.72,34.493,5.69,,,,,0
2000-04-04,15.13,34.495,6.0,,,,,0
2000-04-04,14.97,34.468,5.67,0.02,0.67,1.16,4.58,0
2000-04-04,14.73,34.388000000000005,5.84,,,,,0
2000-04-04,10.69,34.44,6.22,0.23,0.15,2.78,14.61,0
2000-04-04,9.39,34.33,6.32,,,,,0
2000-04-04,10.21,34.39,6.29,0.24,0.18,2.65,14.88,0
2000-04-04,14.02,34.293,5.81,0.08,0.44,3.11,5.83,0
2000-04-04,7.83,34.16,6.56,,,,,0
2000-04-04,12.27,34.159,6.23,,,,,0
2000-04-04,9.98,33.588,6.57,0.02,0.25,2.98,8.3,0
2000-04-04,9.93,33.62,6.48,,,,,0
2000-04-04,10.38,33.638000000000005,6.27,0.14,0.31,3.14,8.91,0
2000-04-04,10.95,33.769,6.33,,,,,0
2000-04-04,13.67,34.181,5.84,0.07,0.17,1.87,5.25,0
2000-04-04,14.45,34.198,5.79,,,,,0
2000-04-04,15.23,34.35,5.95,0.04,0.48,1.69,5.27,0
2000-04-06,12.3,34.47,6.04,0.22,0.22,3.56,16.38,0
2000-04-06,11.88,34.48,6.16,,,,,0
2000-04-06,7.75,34.13,6.37,0.43,0.25,3.57,16.33,0
2000-04-07,15.01,34.328,5.77,0.06,0.49,2.04,3.72,0
2000-04-07,14.86,34.227,5.92,,,,,0
2000-04-07,15.28,34.525,5.72,0.04,0.28,1.59,5.18,0
2000-04-07,15.36,34.601,5.73,,,,,0
2000-04-07,15.87,34.698,5.78,0.11,0.14,1.37,3.72,0
2000-04-07,15.75,34.397,5.93,,,,,0
2000-04-07,15.75,34.396,5.54,0.08,0.12,1.83,4.85,0
2000-04-07,15.21,34.258,5.63,,,,,0
2000-04-07,14.05,33.974000000000004,5.88,0.06,0.43,2.62,5.32,0
2000-04-07,13.8,33.969,5.83,,,,,0
2000-04-07,13.03,33.787,6.07,0.17,0.16,3.08,7.44,0
2000-04-07,10.94,33.046,5.69,,,,,0
2000-04-08,10.9,32.943000000000005,6.45,0.05,0.12,1.74,9.32,0
2000-04-08,10.49,32.623000000000005,6.42,,,,,0
2000-04-08,10.36,33.22,6.56,,,,,0
2000-04-08,10.42,33.146,6.55,0.1,0.09,2.07,7.16,0
2000-04-08,10.68,33.306,6.54,,,,,0
2000-04-08,11.04,33.493,6.42,0.17,0.03,1.44,5.51,0
2000-04-08,11.2,33.609,6.24,,,,,0
2000-04-08,11.16,33.338,6.45,0.17,0.05,1.11,7.36,0
2000-04-08,11.27,33.345,6.33,,,,,0
2000-04-08,13.17,33.965,5.89,0.18,0.21,2.23,6.91,0
2000-04-08,13.62,34.011,5.87,,,,,0
2000-04-08,13.54,34.46,6.18,0.39,0.38,3.52,15.79,0
2000-04-08,13.38,34.44,6.08,,,,,0
2000-04-08,12.5,34.47,6.44,0.36,0.37,3.94,15.47,0
2000-04-08,11.59,34.36,6.23,,,,,0
2000-04-08,13.24,34.45,6.32,0.49,0.22,4.34,14.98,0
2000-04-09,12.27,34.47,6.26,,,,,0
2000-04-09,11.94,34.49,6.33,0.45,0.24,2.75,14.7,0
2000-04-09,9.99,34.39,6.28,,,,,0
2000-04-09,10.72,34.43,6.28,0.32,0.21,2.48,14.63,0
2000-04-09,12.4,34.02,6.06,0.14,0.25,1.63,6.9,0
2000-04-09,9.81,34.38,6.48,0.33,0.25,2.94,14.91,0
2000-04-09,12.85,34.023,5.97,,,,,0
2000-04-09,10.66,33.68,6.07,0.19,0.19,5.93,8.58,0
2000-04-09,9.97,33.419000000000004,6.23,0.34,0.06,5.0,8.1,0
2000-04-09,10.38,34.42,6.15,0.27,0.25,4.11,14.92,0
2000-04-09,10.55,34.42,6.1,0.29,0.23,4.61,14.48,0
2000-04-09,10.8,34.43,6.01,,,,,0
2000-04-09,11.77,34.46,6.18,0.2,0.22,4.84,14.34,0
2000-04-09,11.62,34.46,6.23,,,,,0
2000-04-14,12.42,34.49,6.21,0.36,0.29,3.58,14.7,0
2000-04-14,11.63,34.36,6.43,,,,,0
2000-04-14,11.3,34.3,6.29,0.36,0.34,3.8,15.02,0
2000-04-14,11.08,34.28,6.47,,,,,0
2000-04-14,11.24,34.29,6.38,0.36,0.37,3.51,17.33,0
2000-04-15,11.67,34.37,6.28,0.32,0.33,4.44,16.12,0
2000-04-15,11.17,34.29,6.27,,,,,0
2000-04-15,11.27,34.28,6.27,0.22,0.3,4.11,15.27,0
2000-04-15,11.63,34.37,6.41,,,,,0
2000-04-15,13.43,34.46,6.34,0.39,0.29,3.21,16.0,0
2000-04-15,12.85,34.47,6.38,,,,,0
2000-04-15,11.69,34.45,6.74,0.22,0.23,3.44,17.11,0
2000-04-15,11.88,34.44,6.52,,,,,0
2000-04-15,11.95,34.43,6.7,0.23,0.25,3.94,17.52,0
2000-04-16,12.13,34.34,6.19,,,,,0
2000-04-16,13.15,34.43,6.04,0.19,0.23,4.34,17.93,0
2000-04-16,13.6,34.43,6.14,,,,,0
2000-04-16,13.56,34.45,6.35,0.13,0.21,4.42,17.05,0
2000-04-16,13.31,34.47,6.39,,,,,0
2000-04-16,12.45,34.45,6.17,0.12,0.41,3.62,17.22,0
2000-04-16,12.44,34.44,6.21,,,,,0
2000-04-16,12.09,34.41,6.17,0.28,0.47,3.14,16.73,0
2000-04-17,13.34,34.56,6.21,,,,,0
2000-04-17,13.26,34.56,6.13,0.32,0.45,3.89,17.45,0
2000-04-17,13.51,34.51,6.4,,,,,0
2000-04-17,14.06,34.59,6.03,0.17,0.32,4.84,18.81,0
2000-04-17,14.44,34.56,6.16,,,,,0
2000-04-17,12.2,34.32,6.19,0.18,0.31,5.19,20.42,0
2000-04-17,11.3,34.23,6.24,,,,,0
2000-04-17,11.39,34.38,6.2,0.19,0.32,5.98,20.1,0
2000-04-17,12.82,34.33,6.17,0.17,0.34,5.12,20.38,0
2000-04-17,12.25,34.33,6.2,,,,,0
2000-04-17,13.65,34.43,6.22,0.15,0.36,5.54,20.52,0
2000-04-18,14.36,34.59,6.19,,,,,0
2000-04-19,8.29,32.27,7.06,0.89,0.41,8.54,9.96,0
2000-04-19,8.37,32.352,7.03,,,,,0
2000-04-19,9.85,33.056999999999995,7.27,,,,,0
2000-04-20,10.17,33.124,7.35,0.74,2.18,2.63,4.98,0
2000-04-20,9.09,32.751999999999995,7.24,,,,,0
2000-04-20,8.72,32.681,7.15,0.9,0.25,5.86,8.43,0
2000-04-20,8.87,32.639,7.01,,,,,0
2000-04-20,9.27,32.819,6.8,0.97,0.13,5.82,9.37,0
2000-04-20,8.71,32.656,6.9,,,,,0
2000-04-20,9.25,32.663000000000004,6.94,0.68,0.33,5.44,9.41,0
2000-04-20,9.59,32.71,7.68,,,,,0
2000-04-20,9.52,32.61,7.67,,,,,0
2000-04-20,9.74,32.628,7.99,0.58,0.24,1.19,3.78,0
2000-04-20,9.45,32.644,7.62,,,,,0
2000-04-20,9.34,32.629,7.31,0.52,0.3,3.09,8.45,0
2000-04-20,8.35,32.491,7.19,,,,,0
2000-04-24,14.39,34.56,5.97,0.22,0.38,5.08,20.68,0
2000-04-24,14.5,34.52,5.94,,,,,0
2000-04-24,10.39,32.128,6.68,0.65,0.48,6.97,6.86,0
2000-04-24,9.93,32.546,7.79,,,,,0
2000-04-24,9.22,32.417,7.36,,,,,0
2000-04-24,9.92,32.523,7.99,0.44,0.35,0.78,0.44,0
2000-04-24,14.87,34.55,5.93,,,,,0
2000-04-24,9.93,32.546,7.79,,,,,0
2000-04-24,14.41,34.46,6.17,0.24,0.32,5.84,21.01,0
2000-04-24,9.87,32.554,7.67,0.37,0.27,0.2,0.41,0
2000-04-24,12.63,34.21,6.13,,,,,0
2000-04-24,10.05,32.562,7.47,,,,,0
2000-04-24,11.75,34.18,6.27,0.21,0.32,6.11,20.81,0
2000-04-24,10.13,32.528,7.25,0.34,0.35,0.32,2.38,0
2000-04-24,9.88,32.504,7.03,,,,,0
2000-04-25,9.35,32.444,7.14,,,,,0
2000-04-25,9.37,32.456,7.34,0.32,0.49,0.32,1.11,0
2000-04-25,9.28,32.473,7.18,,,,,0
2000-04-25,9.17,32.471,7.05,0.54,0.21,0.1,1.67,0
2000-04-25,8.72,32.459,7.25,,,,,0
2000-04-25,9.05,32.417,7.4,0.43,0.64,0.4,0.43,0
2000-04-25,8.44,32.379,7.53,,,,,0
2000-04-25,7.87,32.16,7.68,0.72,0.59,1.34,0.87,0
2000-04-25,8.14,31.868,7.46,,,,,0
2000-04-25,8.8,31.737,7.47,0.6,0.28,0.62,0.63,0
2000-04-28,8.7,31.705,7.78,0.58,1.06,3.59,1.47,0
2000-04-28,8.7,31.763,7.67,,,,,0
2000-04-28,8.64,31.916,7.65,0.7,0.33,1.61,0.98,0
2000-04-28,8.34,32.048,7.38,,,,,0
2000-04-28,9.32,32.283,7.07,0.43,0.24,0.4,0.57,0
2000-04-28,9.64,32.312,7.04,,,,,0
2000-04-28,10.21,32.368,6.97,0.53,0.71,0.34,1.43,0
2000-04-28,9.55,32.386,6.98,,,,,0
2000-04-28,9.92,32.41,6.98,0.35,0.35,0.29,4.65,0
2000-04-28,10.79,32.452,7.14,,,,,0
2000-04-28,9.46,32.364000000000004,7.21,,,,,0
2000-04-28,9.47,32.388000000000005,6.98,0.58,,0.62,3.44,0
2000-04-28,9.43,32.318000000000005,7.09,,,,,0
2000-04-29,9.14,32.083,7.24,0.29,0.92,0.75,0.41,0
2000-04-29,9.31,32.0,7.45,,,,,0
2000-04-29,9.18,31.875,7.71,0.39,0.23,0.87,0.3,0
2000-04-29,8.47,31.601,7.53,,,,,0
2000-04-29,7.88,31.493,7.2,0.96,2.22,9.72,4.59,0
2000-05-23,20.84,33.7,5.12,0.31,1.32,,5.05,0
2000-05-23,19.22,32.97,6.84,0.89,2.36,,6.68,0
2000-05-23,20.89,32.68,5.83,0.17,0.91,,5.53,0
2000-05-23,21.45,32.54,5.61,0.13,2.97,,6.2,0
2000-05-23,19.89,28.4,6.58,0.01,4.91,,7.7,0
2000-05-24,20.17,29.28,5.61,0.12,5.72,,9.64,0
2000-05-24,20.11,33.11,5.55,0.24,1.01,,6.89,0
2000-05-24,20.5,32.87,5.61,0.57,1.29,,6.71,0
2000-05-24,20.62,33.06,5.61,0.53,2.1,,8.24,0
2000-05-25,19.65,33.7,5.58,0.53,0.85,,5.09,0
2000-05-25,21.81,33.87,5.92,,,,,0
2000-05-25,21.8,33.48,5.46,,,,,0
2000-05-25,22.52,33.66,5.89,0.12,6.59,,4.96,0
2000-05-25,21.3,33.97,5.46,0.83,1.23,,3.41,0
2000-05-25,20.69,32.8,6.26,0.36,1.06,,6.06,0
2000-05-25,21.1,32.88,5.63,,,,,0
2000-05-26,21.2,33.13,5.72,0.95,0.82,,6.69,0
2000-05-26,21.33,33.12,5.55,,,,,0
2000-06-07,15.95,33.55,6.11,0.53,0.6,3.88,4.03,0
2000-06-07,12.48,31.56,6.3,0.28,0.62,2.89,,0
2000-06-07,16.9,33.51,6.01,,,,,0
2000-06-07,16.83,33.61,6.07,0.43,0.61,2.37,4.42,0
2000-06-07,17.41,33.82,6.04,,,,,0
2000-06-07,17.78,34.21,5.86,0.32,0.63,2.71,5.41,0
2000-06-08,18.32,34.22,5.78,,,,,0
2000-06-08,18.25,34.22,5.78,0.29,0.62,2.59,5.07,0
2000-06-08,18.92,34.31,5.6,0.25,0.52,3.95,3.94,0
2000-06-08,18.55,34.33,5.61,,,,,0
2000-06-08,18.11,34.32,5.54,0.29,0.51,4.39,4.63,0
2000-06-08,18.89,34.31,5.73,,,,,0
2000-06-08,18.85,34.31,5.3,0.27,0.53,4.78,5.27,0
2000-06-08,18.69,34.31,5.49,,,,,0
2000-06-08,18.25,34.24,5.42,0.45,0.54,2.9,6.01,0
2000-06-08,16.34,33.65,5.77,,,,,0
2000-06-08,16.4,32.55,6.1,0.59,0.62,3.85,4.22,0
2000-06-08,16.55,33.53,6.05,0.55,0.65,3.12,4.78,0
2000-06-09,16.18,31.933000000000003,6.11,,,,,0
2000-06-09,16.98,32.041,6.01,0.05,0.86,2.06,0.12,0
2000-06-09,17.42,32.049,5.95,,,,,0
2000-06-09,17.6,32.027,5.94,0.38,0.31,0.68,0.14,0
2000-06-09,18.48,32.236,5.86,,,,,0
2000-06-09,18.13,32.294000000000004,5.8,0.08,0.24,0.93,0.48,0
2000-06-09,18.15,32.238,5.51,,,,,0
2000-06-09,18.12,32.22,5.34,,,,,0
2000-06-09,18.36,32.153,5.63,0.04,0.24,0.44,2.27,0
2000-06-09,17.42,32.049,5.95,,,,,0
2000-06-09,18.63,31.795,5.61,,,,,0
2000-06-09,18.92,32.092,5.5,0.13,0.02,0.46,0.48,0
2000-06-09,19.0,32.048,5.59,,,,,0
2000-06-09,19.14,32.014,5.65,0.03,1.06,1.0,0.3,0
2000-06-10,18.61,32.198,5.85,,,,,0
2000-06-10,13.46,31.986,6.13,0.34,0.14,0.25,1.39,0
2000-06-10,15.72,31.784,6.2,,,,,0
2000-06-10,15.36,31.692,6.41,0.11,0.19,0.76,0.76,0
2000-06-10,15.33,33.81,5.89,0.55,0.68,3.67,4.29,0
2000-06-10,14.94,33.79,5.98,0.59,0.66,3.67,4.08,0
2000-06-10,15.81,33.75,5.8,,,,,0
2000-06-10,17.13,34.27,5.44,0.5,0.64,3.66,5.66,0
2000-06-10,17.38,34.29,5.4,,,,,0
2000-06-10,17.41,34.28,5.44,0.31,0.55,4.45,4.55,0
2000-06-10,18.1,34.36,5.61,,,,,0
2000-06-10,18.0,34.36,5.73,0.37,0.63,3.73,4.37,0
